speaker,episode,sheet,context,english,dutch,utterer_key
???,E1,E1_TrustysDream_localization,Trusty's dream is interrupted by a voice.,Trusty Ass! Wake up! WAKE UP!,Trouwe! Opstaan! OPSTAAN!,SAY.Dialog:Wake up!.1.???
???,E2,E2_ChildsHouse_localization,Hard enters a house to find a child trapped under a bookcase.,*WAHHH*!,*WEEEEEEEEI*!,SAY.Dialog:Child.7.???
???,E2,E2_MinersHouse_localization,Hard Ass enters the house of Miner Jenny.,A donkey? How'd you get here from the Mines?,Een ezel? Hoe ben jij hier van de Mijnen geraakt?,SAY.Dialog:Miner.1.???
???,E2,E2_ButtesHouse_localization,"Upon heading upstairs, Hard Ass finds Mr. Butte, who is drunk.",*glug glug* Is someone there?,*slok slok* Wie is daar?,SAY.Dialog:Butte.1.???
???,E2,E2_ButtesHouse_localization,,Is that a donkey?,Is dat een ezel?,SAY.Dialog:Butte.8.???
???,E3,E3_LazysGrave_localization,The Foal finds herself in a new area of the Mine. A mysterious voice calls out.,Hi.,Hoi.,SAY.Dialog:MeetingLazy.1.???
???,E3,E3_BadCave_localization,The camera moves to reveal the mysterious voice. It's Bad Ass.,Fuck. Go away!,Fuck. Ga weg!,SAY.Dialog:PreDonkeyBas.25.???
???,E5,E5_ZooMain_localization,Optional dialogue. Mme. Derriere appears at the fence at the end of the day.,"Hello beautiful, don't you look soft!","Dag schoonheid, wat zie jij er zacht uit!",SAY.Dialog:TeamRocketEasterEgg.3.???
{$NewName},E3,E3_Mine1FOpening_localization,The screen fades up from black to reveal Sturdy listening to the Foal (her now-born daughter).,"Comrade Mother, will this crappy weather ever end?","Kameraad Moeder, gaat dit kloteweeer ooit nog stoppen?",SAY.Dialog:ScavengersReturn.116.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'm cold.,'k Heb het koud.,SAY.Dialog:ScavengersReturn.1.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'm hungry.,'k Heb honger.,SAY.Dialog:ScavengersReturn.118.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'm damp.,'k Ben nat.,SAY.Dialog:ScavengersReturn.117.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,And worst of all...,En het ergste van al...,SAY.Dialog:ScavengersReturn.115.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'M BORED.,'K VERVEEL MIJ DOOD.,SAY.Dialog:ScavengersReturn.114.{$NewName}
